unit,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 
PC,D,RS	: 	: 	: 	7.6 	: 	: 	: 	: 	: 	: 	: 
PC,D,SE	7.7 	6.9 	8.4 	8.8 	8.0 	8.0 	9.7 	10.3 	11.5 	11.5 	: 
PC,D,SI	-2.6 	0.5 	-0.8 	-0.3 	-0.8 	3.3 	1.0 	5.6 	7.5 	10.5 	11.9 
PC,D,SK	8.6 	8.5 	7.1 	11.9 	12.8 	10.5 	9.4 	15.9 	12.5 	9.1 	: 
PC,D,TR	: 	: 	: 	2.2 	: 	: 	: 	: 	: 	: 	: 
PC,D,UK	18 p	20.7 	21.2 	21.4 	25.2 	28.9 	25.8 	28.4 b	26.5 	32.1 	28.8 
PC,E,AT	7.3 	7.0 	8.8 	10.0 	: 	: 	: 	12.2 	: 	: 	: 
PC,E,BE	-2.4 	-2.2 	-2.0 	-2.0 	-1.6 	-1.2 	-1.0 	-0.5 	0.0 	1.1 	1.7 
PC,E,BG	18.4 	19.9 	20.0 	15.8 	13.0 	9.5 	6.3 	8.2 	8.2 	12.2 	14.5 
PC,E,CH	5.9 	6.2 	6.3 	6.3 	7.1 	7.7 	8.5 	8.4 	5.5 d	5.6 d	: 
PC,E,CY	-5.2 u	-6.2 u	-6.5 u	-6.4 u	-6.9 u	-5.9 u	-6.5 u	-6.3 u	-6.5 u	0.3 u	: 
PC,E,CZ	7.3 	4.5 	4.0 	1.1 	0.8 	2.6 	2.1 	-1.2 	4.0 	3.8 	: 
PC,E,DE	4.7 p	5.7 p	4.6 p	4.9 	4.4 	3.5 	5.5 	4.7 	5.4 	7.3 	8.3 
PC,E,DK	2.4 	1.4 	3.5 	6.6 	4.3 	6.4 	9.1 	13.8 	7.8 	11.1 	: 
PC,E,EE	5.7 	10.2 	11.5 	13.6 	12.4 	11.0 	15.1 	18.5 	17.2 	14.9 	: 
PC,E,EL	: 	: 	: 	6.2 	: 	: 	: 	11.2 	: 	: 	: 
PC,E,ES	13.7 p	13.7 	14.7 	13.5 	15.5 	16.4 	17.7 	17.5 	16.4 	17.0 	20.3 
PC,E,FI	3.4 p	1.4 	4.3 	4.2 	6.9 	7.7 	7.4 	7.0 	8.0 	5.8 	: 
PC,E,FR	3.7 p	3.6 p	3.8 	3.6 	-0.3 	-3.6 	-6.5 	-11.5 	-8.2 	-4.4 	: 
PC,E,HR	-2.0 	-1.0 	: 	0.2 	0.9 	: 	: 	5.5 	: 	: 	: 
PC,E,HU	1.9 p	1.9 	-6.7 	-5.4 	2.8 	-2.4 	-0.9 	-1.7 	0.0 	1.9 	: 
PC,E,IE	: 	: 	: 	: c	: c	: c	: c	18.9 	16.9 	18.2 	: 
PC,E,IS	-3.5 u	-1.2 u	-6.7 u	5.9 u	4.4 u	-2.8 u	0.8 u	-2.7 u	1.6 u	-5.4 u	: 
PC,E,IT	: c	: c	: c	4.5 	: c	: c	: c	4.0 	: 	: 	: 
PC,E,LT	14.8 	14.7 	15.8 	16.4 	15.1 	14.6 	13.4 	10.1 b	9.7 	10.2 	10.2 
