GENESIS-Tabelle: 21111-0014
Absolventen/Abgänger: Bundesländer, Schuljahr, Geschlecht,;;;;;
Schulabschlüsse;;;;;
Statistik der allgemeinbildenden Schulen;;;;;
Absolventen/Abgänger (Anzahl);;;;;
;;;Geschlecht;Geschlecht;Geschlecht
;;;männlich;weiblich;Insgesamt
2013/14;Baden-Württemberg;Allgemeine Hochschulreife;15324;18207;33531
2013/14;Bayern;Ohne Hauptschulabschluss;3586;2306;5892
2013/14;Bayern;Hauptschulabschluss;17925;12386;30311
2013/14;Bayern;Mittlerer Schulabschluss;30754;32091;62845
2013/14;Bayern;Fachhochschulreife;3;2;5
2013/14;Bayern;Allgemeine Hochschulreife;17375;20221;37596
2013/14;Berlin;Ohne Hauptschulabschluss;1398;1032;2430
2013/14;Berlin;Hauptschulabschluss;2841;2249;5090
2013/14;Berlin;Mittlerer Schulabschluss;5368;4789;10157
2013/14;Berlin;Fachhochschulreife;-;-;-
2013/14;Berlin;Allgemeine Hochschulreife;5618;6718;12336
2013/14;Brandenburg;Ohne Hauptschulabschluss;908;554;1462
2013/14;Brandenburg;Hauptschulabschluss;1647;1006;2653
2013/14;Brandenburg;Mittlerer Schulabschluss;3920;3630;7550
2013/14;Brandenburg;Fachhochschulreife;30;12;42
2013/14;Brandenburg;Allgemeine Hochschulreife;2975;3520;6495
2013/14;Bremen;Ohne Hauptschulabschluss;266;182;448
2013/14;Bremen;Hauptschulabschluss;879;634;1513
2013/14;Bremen;Mittlerer Schulabschluss;1356;1324;2680
2013/14;Bremen;Fachhochschulreife;51;56;107
2013/14;Bremen;Allgemeine Hochschulreife;1265;1521;2786
2013/14;Hamburg;Ohne Hauptschulabschluss;461;294;755
2013/14;Hamburg;Hauptschulabschluss;1477;1009;2486
2013/14;Hamburg;Mittlerer Schulabschluss;2044;1726;3770
2013/14;Hamburg;Fachhochschulreife;33;31;64
2013/14;Hamburg;Allgemeine Hochschulreife;3963;4551;8514
2013/14;Hessen;Ohne Hauptschulabschluss;1853;1178;3031
2013/14;Hessen;Hauptschulabschluss;6578;4699;11277
2013/14;Hessen;Mittlerer Schulabschluss;15039;14729;29768
2013/14;Hessen;Fachhochschulreife;170;130;300
2013/14;Hessen;Allgemeine Hochschulreife;11509;14495;26004
2013/14;Mecklenburg-Vorpommern;Ohne Hauptschulabschluss;598;363;961
2013/14;Mecklenburg-Vorpommern;Hauptschulabschluss;898;563;1461
2013/14;Mecklenburg-Vorpommern;Mittlerer Schulabschluss;2504;2452;4956
2013/14;Mecklenburg-Vorpommern;Fachhochschulreife;-;-;-
2013/14;Mecklenburg-Vorpommern;Allgemeine Hochschulreife;1604;2077;3681
2013/14;Niedersachsen;Ohne Hauptschulabschluss;2532;1713;4245
2013/14;Niedersachsen;Hauptschulabschluss;7241;4786;12027
2013/14;Niedersachsen;Mittlerer Schulabschluss;23011;21277;44288
2013/14;Niedersachsen;Fachhochschulreife;-;-;-
2013/14;Niedersachsen;Allgemeine Hochschulreife;12000;14745;26745
2013/14;Nordrhein-Westfalen;Ohne Hauptschulabschluss;6925;4770;11695
2013/14;Nordrhein-Westfalen;Hauptschulabschluss;19087;13751;32838
2013/14;Nordrhein-Westfalen;Mittlerer Schulabschluss;44781;42593;87374
2013/14;Nordrhein-Westfalen;Fachhochschulreife;20;15;35
2013/14;Nordrhein-Westfalen;Allgemeine Hochschulreife;35711;43430;79141
2013/14;Rheinland-Pfalz;Ohne Hauptschulabschluss;1466;891;2357
2013/14;Rheinland-Pfalz;Hauptschulabschluss;5232;3312;8544
2013/14;Rheinland-Pfalz;Mittlerer Schulabschluss;9645;9586;19231
2013/14;Rheinland-Pfalz;Fachhochschulreife;-;-;-
