Semester;Code;Studiengang;männlich;weiblich;Insgesamt
WS 2010/11;SF178;Wirtschafts-/Sozialgeografie;1;-;1
WS 2010/11;SF183;Wirtschafts-/Sozialgeschichte;7;10;17
WS 2010/11;SF277;Wirtschaftsinformatik;5766;1457;7223
WS 2010/11;SF370;Wirtschaftsingenieurw. m. ingenieurwiss.Schwerpkt.;5548;1336;6884
WS 2010/11;SF179;Wirtschaftsingenieurw.m.wirtschaftswiss.Schwerpkt.;5858;1820;7678
WS 2010/11;SF276;Wirtschaftsmathematik;783;548;1331
WS 2010/11;SF181;Wirtschaftspädagogik;329;627;956
WS 2010/11;SF042;Wirtschaftsrecht;1157;1590;2747
WS 2010/11;SF184;Wirtschaftswissenschaften;6284;6090;12374
WS 2010/11;SF185;Zahnmedizin;453;952;1405
WS 2010/11;SF269;Zoll- und Steuerverwaltung;445;660;1105
WS 2011/12;SF141;Abfallwirtschaft;15;5;20
WS 2011/12;SF002;Afrikanistik;105;176;281
WS 2011/12;SF138;Agrarbiologie;55;62;117
WS 2011/12;SF125;Agrarökonomie;178;145;323
WS 2011/12;SF003;Agrarwissenschaft/Landwirtschaft;1571;1350;2921
WS 2011/12;SF001;Ägyptologie;31;47;78
WS 2011/12;SF152;Allg. Sprachwissenschaft/Indogermanistik;248;906;1154
WS 2011/12;SF188;Allgemeine Literaturwissenschaft;140;475;615
WS 2011/12;SF272;Alte Geschichte;13;20;33
WS 2011/12;SF006;Amerikanistik/Amerikakunde;173;442;615
WS 2011/12;SF007;Angewandte Kunst;310;423;733
WS 2011/12;SF284;Angewandte Sprachwissenschaft;168;771;939
WS 2011/12;SF140;Angewandte Systemwissenschaften;251;102;353
WS 2011/12;SF008;Anglistik/Englisch;2045;5644;7689
WS 2011/12;SF009;Anthropologie (Humanbiologie);37;78;115
WS 2011/12;SF010;Arabisch/Arabistik;41;55;96
WS 2011/12;SF011;Arbeitslehre/Wirtschaftslehre;67;133;200
WS 2011/12;SF257;Arbeits- und Berufsberatung;7;32;39
WS 2011/12;SF258;Arbeitsverwaltung;45;124;169
WS 2011/12;SF012;Archäologie;343;452;795
WS 2011/12;SF390;Archäometrie (Ingenieurarchäologie);1;-;1
WS 2011/12;SF013;Architektur;2970;3993;6963
WS 2011/12;SF255;Archivwesen;17;24;41
WS 2011/12;SF187;Asiatische Sprachen u.Kulturen/Asienwissenschaften;114;275;389
WS 2011/12;SF014;Astronomie, Astrophysik;32;17;49
WS 2011/12;SF143;Augenoptik;39;115;154
